id,number,title,source,year,difficulty,pdfUrl,new_difficulty,primary_category,secondary_tags,notes
cmhhxbrsh004gl20433a00d59,LH-IOL-2012-1,IOL 2012 Problem 1,IOL,2012,1,/olympiad-problems/IOL/by-year/2012/iol-2012-i1.pdf,,,,
cmhhxbyhd004kl204dyszotm0,LH-IOL-2012-2,IOL 2012 Problem 2,IOL,2012,2,/olympiad-problems/IOL/by-year/2012/iol-2012-i2.pdf,,,,
cmhhxc54b004ol204syya4exp,LH-IOL-2012-3,IOL 2012 Problem 3,IOL,2012,2,/olympiad-problems/IOL/by-year/2012/iol-2012-i3.pdf,,,,
cmhhxcaqi004sl204qt10fq1r,LH-IOL-2012-4,IOL 2012 Problem 4,IOL,2012,4,/olympiad-problems/IOL/by-year/2012/iol-2012-i4.pdf,,,,
cmhhxcg6i004wl204ht4ddaep,LH-IOL-2012-5,IOL 2012 Problem 5,IOL,2012,4,/olympiad-problems/IOL/by-year/2012/iol-2012-i5.pdf,,,,
cmhhxclmn0050l204av2gatk8,LH-IOL-2013-1,IOL 2013 Problem 1,IOL,2013,1,/olympiad-problems/IOL/by-year/2013/iol-2013-i1.pdf,,,,
cmhhxcr8u0054l2043pqjhglk,LH-IOL-2013-2,IOL 2013 Problem 2,IOL,2013,2,/olympiad-problems/IOL/by-year/2013/iol-2013-i2.pdf,,,,
cmhhxcwow0058l204wgq6ozwk,LH-IOL-2013-3,IOL 2013 Problem 3,IOL,2013,2,/olympiad-problems/IOL/by-year/2013/iol-2013-i3.pdf,,,,
cmhhxd2ba005cl20486esx9he,LH-IOL-2013-4,IOL 2013 Problem 4,IOL,2013,4,/olympiad-problems/IOL/by-year/2013/iol-2013-i4.pdf,,,,
cmhhxd7ra005gl204jv5l7ey1,LH-IOL-2013-5,IOL 2013 Problem 5,IOL,2013,4,/olympiad-problems/IOL/by-year/2013/iol-2013-i5.pdf,,,,
cmhhxofpi006pl404qdh9eve1,LH-IOL-2014-1,IOL 2014 Problem 1,IOL,2014,1,/olympiad-problems/IOL/by-year/2014/iol-2014-i1.pdf,,,,
cmhhxolcl006tl404ypgm7gmr,LH-IOL-2014-2,IOL 2014 Problem 2,IOL,2014,2,/olympiad-problems/IOL/by-year/2014/iol-2014-i2.pdf,,,,
cmhhxoqnp006xl404uhgegaw7,LH-IOL-2014-3,IOL 2014 Problem 3,IOL,2014,2,/olympiad-problems/IOL/by-year/2014/iol-2014-i3.pdf,,,,
cmhhxow560071l4048az293x6,LH-IOL-2014-4,IOL 2014 Problem 4,IOL,2014,4,/olympiad-problems/IOL/by-year/2014/iol-2014-i4.pdf,,,,
cmhhxp1gm0075l404a1taopjm,LH-IOL-2014-5,IOL 2014 Problem 5,IOL,2014,4,/olympiad-problems/IOL/by-year/2014/iol-2014-i5.pdf,,,,
cmhhxp6y90079l404cknkko99,LH-IOL-2015-1,IOL 2015 Problem 1,IOL,2015,1,/olympiad-problems/IOL/by-year/2015/iol-2015-i1.pdf,,,,
cmhhxpc9h007dl4042qs4c1fg,LH-IOL-2015-2,IOL 2015 Problem 2,IOL,2015,2,/olympiad-problems/IOL/by-year/2015/iol-2015-i2.pdf,,,,
cmhhxphqw007hl4043axsqo3c,LH-IOL-2015-3,IOL 2015 Problem 3,IOL,2015,2,/olympiad-problems/IOL/by-year/2015/iol-2015-i3.pdf,,,,
cmhhxpn1y007ll404mz3kw30l,LH-IOL-2015-4,IOL 2015 Problem 4,IOL,2015,4,/olympiad-problems/IOL/by-year/2015/iol-2015-i4.pdf,,,,
cmhhxpsd6007pl404n727n8ok,LH-IOL-2015-5,IOL 2015 Problem 5,IOL,2015,4,/olympiad-problems/IOL/by-year/2015/iol-2015-i5.pdf,,,,
cmhhxpzs7007tl404nsfrexm1,LH-IOL-2016-1,IOL 2016 Problem 1,IOL,2016,1,/olympiad-problems/IOL/by-year/2016/iol-2016-i1.pdf,,,,
cmhhxq59o007xl404hv9m8501,LH-IOL-2016-2,IOL 2016 Problem 2,IOL,2016,2,/olympiad-problems/IOL/by-year/2016/iol-2016-i2.pdf,,,,
cmhhxqakv0081l4048gthfkf0,LH-IOL-2016-3,IOL 2016 Problem 3,IOL,2016,2,/olympiad-problems/IOL/by-year/2016/iol-2016-i3.pdf,,,,
